"","gene_ID","gene_symbol","annotation_ID","primary_FBgn"
"7897","34875","NC2beta","CG4185","FBgn0028926"
"7898","34788","CG16865","CG16865","FBgn0028919"
"7899","34835","CG33090","CG33090","FBgn0028916"
"7900","34849","CG3473","CG3473","FBgn0028913"
"7901","34933","CG13243","CG13243","FBgn0028903"
"7902","34934","Tektin-A","CG4767","FBgn0028902"
"7903","34955","CG4935","CG4935","FBgn0028897"
"7904","34958","CG17329","CG17329","FBgn0028896"
"7905","34962","CG17328","CG17328","FBgn0028895"
"7906","34963","CG5869","CG5869","FBgn0028894"
"7907","260658","CG31819","CG31819","FBgn0028893"
"7908","34907","CG4161","CG4161","FBgn0028892"
"7909","34889","CG4168","CG4168","FBgn0028888"
"7910","34870","CG3491","CG3491","FBgn0028887"
"7911","34863","CG15279","CG15279","FBgn0028886"
"7912","34949","CG4892","CG4892","FBgn0028884"
"7913","34886","CG15270","CG15270","FBgn0028879"
"7914","34826","nAcRalpha-34E","CG32975","FBgn0028875"
"7915","34856","CG4691","CG4691","FBgn0028870"
"7916","34891","CG15267","CG15267","FBgn0028862"
"7917","34944","CG10839","CG10839","FBgn0028858"
"7918","34943","CG18063","CG18063","FBgn0028856"
"7919","34853","CG15282","CG15282","FBgn0028855"
"7920","34776","CG7311","CG7311","FBgn0028848"
"7921","34777","CG9014","CG9014","FBgn0028847"
"7922","34977","jhamt","CG17330","FBgn0028841"
"7923","42661","CSN6","CG6932","FBgn0028837"
"7924","35816","CSN7","CG2038","FBgn0028836"
"7925","43165","Dak1","CG6092","FBgn0028833"
"7926","39039","Doc1","CG5133","FBgn0028789"
"7927","59253","CG18508","CG18508","FBgn0028746"
"7928","37036","CG5033","CG5033","FBgn0028744"
"7929","37037","CG5036","CG5036","FBgn0028743"
"7930","37033","fab1","CG6355","FBgn0028741"
"7931","44125","ETH","CG18105","FBgn0028738"
"7932","45249","Ef1beta","CG6341","FBgn0028737"
"7933","37528","Fmr1","CG6203","FBgn0028734"
"7934","43130","Lnk","CG17367","FBgn0028717"
"7935","41089","Mst85C","CG11993","FBgn0028708"
"7936","33939","Nhe3","CG11328","FBgn0028703"
"7937","34550","RfC38","CG6258","FBgn0028700"
"7938","38589","Rh50","CG7499","FBgn0028699"
"7939","3354918","RpL15","CG17420","FBgn0028697"
"7940","40174","Rpn1","CG7762","FBgn0028695"
"7941","33738","Rpn11","CG18174","FBgn0028694"
"7942","39845","Rpn12","CG4157","FBgn0028693"
"7943","43449","Rpn2","CG11888","FBgn0028692"
"7944","42802","Rpn9","CG10230","FBgn0028691"
